12:31:23.70 25:40:12.90 24.072±0.023 23.359±0.020 22.981±0.019 — —
12:31:07.44 25:40:15.96 24.362±0.026 23.672±0.022 23.319±0.021 — —
12:31:38.83 25:40:17.01 24.922±0.032 24.271±0.030 23.830±0.028 — —
12:31:08.79 25:40:27.99 23.805±0.022 23.237±0.018 22.991±0.020 — —
12:31:18.50 25:40:29.10 23.377±0.020 22.823±0.016 22.562±0.018 — —
12:31:36.43 25:40:34.57 22.326±0.019 21.864±0.015 21.662±0.016 — —
12:31:47.76 25:40:37.89 24.651±0.028 24.214±0.030 23.908±0.029 — —
12:31:15.35 25:40:44.07 24.224±0.023 23.737±0.021 23.437±0.022 — —
12:31:31.67 25:41:00.46 20.985±0.019 20.409±0.015 20.069±0.016 — —
12:31:24.97 25:41:04.81 22.665±0.019 22.190±0.015 21.951±0.017 — —
12:31:10.76 25:41:05.13 24.268±0.027 23.826±0.023 23.504±0.024 — —
12:31:12.61 25:41:10.97 23.673±0.022 23.141±0.018 22.829±0.019 — —
12:31:23.21 25:41:24.04 22.710±0.019 22.171±0.015 21.924±0.017 — —
12:31:39.86 25:41:29.69 24.237±0.025 23.726±0.025 23.319±0.023 — —
12:31:33.01 25:41:34.37 23.675±0.021 23.166±0.018 22.927±0.019 — —
12:31:43.73 25:41:40.81 24.066±0.022 23.403±0.019 23.055±0.020 — —
12:31:36.92 25:41:40.81 22.988±0.019 22.512±0.016 22.265±0.017 — —
12:31:03.12 25:41:44.55 24.030±0.027 23.330±0.020 23.078±0.021 — —
12:31:09.38 25:42:11.41 23.997±0.023 23.327±0.019 23.091±0.021 — —
12:31:21.67 25:42:14.76 24.004±0.024 23.556±0.022 23.305±0.025 — —
12:30:55.69 25:42:18.43 23.000±0.019 22.435±0.016 22.207±0.017 — —
12:31:09.93 25:42:25.42 23.333±0.020 22.734±0.017 22.394±0.018 — —
12:31:37.28 25:42:29.09 24.117±0.024 23.555±0.022 23.383±0.026 — —
12:31:25.81 25:42:35.21 23.651±0.022 23.127±0.018 22.905±0.020 — —
12:31:28.88 25:42:37.58 22.678±0.019 22.223±0.015 21.990±0.017 — —
12:31:26.22 25:42:38.24 23.189±0.020 22.643±0.016 22.330±0.018 — —
